gmDate,gmTime,offLNm,offFNm,teamAbbr,teamDiv,teamLoc,teamRslt,teamPTS,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,teamFTA,teamFTM,teamFT%,teamTRB,teamSTL%,teamBLK%,teamBLKR,timestamp
2012-10-30,19:00,Brothers,Tony,WAS,Southeast,Away,Loss,84,13,11,10,19,90,32,0.3556,20,12,0.6,39,12.3678,11.2434,17.2414,1351555200.0
2012-10-30,19:00,Workman,Haywoode,CLE,Central,Home,Win,94,21,7,5,21,79,36,0.4557,22,15,0.6818,54,7.8704,5.6217,8.4746,1351555200.0
2012-10-30,20:00,Fitzgerald,Kane,MIA,Southeast,Home,Win,120,8,8,5,20,79,43,0.5443,32,26,0.8125,36,8.4225,5.2641,7.9365,1351555200.0
2012-10-30,20:00,Wright,Sean,BOS,Atlantic,Away,Loss,107,16,4,2,23,75,39,0.52,28,23,0.8214,41,4.2113,2.1056,3.2258,1351555200.0
2012-10-30,22:30,Dalen,Eric,LAL,Pacific,Home,Loss,91,14,6,5,21,77,38,0.4935,31,12,0.3871,46,6.5517,5.4598,7.8125,1351555200.0
2012-10-30,22:30,Zielinski,Gary,DAL,Southwest,Away,Win,99,12,9,5,25,85,40,0.4706,18,14,0.7778,40,9.8276,5.4598,7.1429,1351555200.0
2012-10-31,19:00,Salvatore,Bennett,DEN,Northwest,Away,Loss,75,22,9,5,22,88,33,0.375,11,5,0.4545,54,9.5368,5.2982,7.1429,1351641600.0
2012-10-31,19:00,Salvatore,Bennett,PHI,Atlantic,Home,Win,84,16,13,11,14,85,30,0.3529,21,17,0.8095,47,13.7753,11.6561,18.3333,1351641600.0
2012-10-31,19:00,Spooner,Bill,IND,Central,Away,Win,90,19,3,10,16,78,37,0.4744,16,11,0.6875,46,3.2764,10.9213,14.9254,1351641600.0
2012-10-31,19:00,Spooner,Bill,TOR,Atlantic,Home,Loss,88,10,12,8,18,91,33,0.3626,19,16,0.8421,42,13.1056,8.737,10.8108,1351641600.0
2012-10-31,19:30,Kirkland,Courtney,HOU,Southwest,Away,Win,105,20,12,3,24,79,39,0.4937,23,17,0.7391,45,12.6895,3.1724,5.7692,1351641600.0
2012-10-31,19:30,Kirkland,Courtney,DET,Central,Home,Loss,96,16,12,4,15,79,35,0.44299999999999995,26,20,0.7692,36,12.6895,4.2298,6.3492,1351641600.0
2012-10-31,20:00,Capers,James,NO,Southwest,Home,Loss,95,15,7,6,20,80,35,0.4375,23,21,0.9129999999999999,43,7.3658,6.3136,9.5238,1351641600.0
2012-10-31,20:00,Goble,John,SA,Southwest,Away,Win,99,16,9,8,21,80,38,0.475,26,17,0.6538,43,9.4704,8.4181,13.3333,1351641600.0
2012-10-31,20:00,Jones,David,SAC,Pacific,Away,Loss,87,21,10,5,29,84,34,0.4048,16,13,0.8125,40,10.4227,5.2114,7.4627,1351641600.0
2012-10-31,20:00,Jones,David,CHI,Central,Home,Win,93,18,8,10,19,79,33,0.4177,33,25,0.7576,46,8.3382,10.4227,14.2857,1351641600.0
2012-10-31,21:00,Poole,Olandis,UTA,Northwest,Home,Win,113,14,10,8,25,89,38,0.42700000000000005,42,31,0.7381,61,9.9526,7.9621,10.6667,1351641600.0
2012-10-31,21:00,Mott,Rodney,DAL,Southwest,Away,Loss,94,16,8,5,32,85,32,0.3765,26,19,0.7308,40,7.9621,4.9763,7.9365,1351641600.0
2012-10-31,22:00,Adams,Bennie,PHO,Pacific,Home,Loss,85,18,10,12,23,80,32,0.4,22,17,0.7727,44,10.6621,12.7945,20.339000000000002,1351641600.0
2012-10-31,22:00,Callahan,Mike,GS,Pacific,Away,Win,87,18,9,3,20,86,33,0.3837,23,16,0.6957,49,9.5959,3.1986,4.3478,1351641600.0
2012-10-31,22:30,Maddox,Tre,LAL,Pacific,Away,Loss,106,25,6,2,29,72,36,0.5,32,26,0.8125,45,6.3653,2.1218,3.7037,1351641600.0
